NRT Code,Description,YTD,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT
2002,Sidewall Cut(s)/Snag(s),27,9,9,1,2,0,1,0,1,0,4
2005,Run to Destruction,0,0,0,0,0,0,0,0,0,0,0
2004,Run Under-Inflated,2,0,0,1,1,0,0,0,0,0,0
2101,Bead Damage - Mount/Dismount R,0,0,0,0,0,0,0,0,0,0,0
2006,Impact Split(s),6,1,1,0,0,0,2,1,1,0,0
2009,Pinch Shock,17,7,2,1,4,1,0,1,0,1,0
2010,Rock Drilling,1,0,0,1,0,0,0,0,0,0,0
2102,Worn Too Far,10,2,3,2,1,0,0,0,1,0,1
2205,Shoulder Separation,10,0,2,5,1,0,1,1,0,0,0
2300,Outside of Fleet Specifications,167,10,17,43,28,8,10,16,7,16,12
2400,Injuries too Close/Large,14,5,2,2,1,2,0,1,0,1,0
,OTHER NRT CODES,88,16,21,12,18,7,2,2,4,1,5
,TOTAL,342,50,57,68,56,18,16,22,14,19,22
