NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2020-07-01
End Date,2020-07-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),1,6.25%
2002,Sidewall Cut(s)/Snag(s),3,18.75%
2009,Pinch Shock,1,6.25%
2204,Liner Defect(s),1,6.25%
2205,Shoulder Separation,3,18.75%
2206,Sidewall Blisters/Bumps,1,6.25%
2303,Repairs Exceed Fleet Specs,2,12.50%
2306,Tire Brand Outside Fleet Specs,2,12.50%
2512,Tread Design Mismatch With Cas,2,12.50%
Grand Total,,16,
Total:,***Grand Totals***
