NRT Summary

Run Date,11-08-2021
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"LONE STAR TRANSPORTATION, INC."
All Locations,Yes
Start Date,2020-10-01
End Date,2020-10-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),6,9.09%
2002,Sidewall Cut(s)/Snag(s),5,7.58%
2004,Run Under-Inflated,1,1.52%
2006,Impact Split(s),1,1.52%
2007,Excessive Sidewall Abrasion,1,1.52%
2008,Brake Skid(s),1,1.52%
2009,Pinch Shock,4,6.06%
2010,Rock Drilling,1,1.52%
2013,Shock/Curbing Induced Belt Sep,19,28.79%
2023,Bead Damage From Brake Heat,2,3.03%
2102,Worn Too Far,4,6.06%
2106,Bead Damage - Wheel Related,2,3.03%
2201,Ozone/Weather Cracking,1,1.52%
2202,Belt Separation (Radial Only),1,1.52%
2204,Liner Defect(s),4,6.06%
2205,Shoulder Separation,1,1.52%
2206,Sidewall Blisters/Bumps,5,7.58%
2301,Times Retreaded Exceeds Fleet,1,1.52%
2302,Casing Age Exceeds Fleet Specs,2,3.03%
2303,Repairs Exceed Fleet Specs,3,4.55%
2403,Repair Failure - Non Bandag,1,1.52%
Grand Total,,66,
Total:,***Grand Totals***
